Origin_Airport,Origin_City,Origin_State,Origin_Country,Destination_Airport,Destination_City,Destination_State,Destination_Country,Airline Name,delay
Greater Rochester Int'l,Rochester,NY,USA,Newark Intl,Newark,NJ,USA,Expressjet Airlines Inc.,167598
Pittsburgh International,Pittsburgh,PA,USA,Newark Intl,Newark,NJ,USA,Expressjet Airlines Inc.,165256
Gen Edw L Logan Intl,Boston,MA,USA,Newark Intl,Newark,NJ,USA,Continental Air Lines Inc.,162699
Fort Lauderdale-Hollywood Int'l,Ft. Lauderdale,FL,USA,Newark Intl,Newark,NJ,USA,Continental Air Lines Inc.,149343
Philadelphia Intl,Philadelphia,PA,USA,William B Hartsfield-Atlanta Intl,Atlanta,GA,USA,Delta Air Lines Inc.,144260
Kansas City International,Kansas City,MO,USA,William B Hartsfield-Atlanta Intl,Atlanta,GA,USA,Delta Air Lines Inc.,144200
Miami International,Miami,FL,USA,William B Hartsfield-Atlanta Intl,Atlanta,GA,USA,Delta Air Lines Inc.,142862
Baltimore-Washington International,Baltimore,MD,USA,William B Hartsfield-Atlanta Intl,Atlanta,GA,USA,Delta Air Lines Inc.,142377
Jacksonville International,Jacksonville,FL,USA,William B Hartsfield-Atlanta Intl,Atlanta,GA,USA,Delta Air Lines Inc.,134371
LaGuardia,New York,NY,USA,William B Hartsfield-Atlanta Intl,Atlanta,GA,USA,Delta Air Lines Inc.,127669
Raleigh-Durham International,Raleigh,NC,USA,Newark Intl,Newark,NJ,USA,Expressjet Airlines Inc.,122898
Charlotte/Douglas International,Charlotte,NC,USA,Newark Intl,Newark,NJ,USA,Expressjet Airlines Inc.,122346
Theodore F Green State,Providence,RI,USA,Newark Intl,Newark,NJ,USA,Expressjet Airlines Inc.,122266
Chicago O'Hare International,Chicago,IL,USA,William B Hartsfield-Atlanta Intl,Atlanta,GA,USA,Delta Air Lines Inc.,121110
Chicago O'Hare International,Chicago,IL,USA,Newark Intl,Newark,NJ,USA,Continental Air Lines Inc.,120504
Richmond International,Richmond,VA,USA,Newark Intl,Newark,NJ,USA,Expressjet Airlines Inc.,118552
Palm Beach International,West Palm Beach,FL,USA,Newark Intl,Newark,NJ,USA,Continental Air Lines Inc.,115264
Orlando International,Orlando,FL,USA,Newark Intl,Newark,NJ,USA,Continental Air Lines Inc.,113608
"Baton Rouge Metropolitan, Ryan",Baton Rouge,LA,USA,William B Hartsfield-Atlanta Intl,Atlanta,GA,USA,Atlantic Southeast Airlines,113371
Raleigh-Durham International,Raleigh,NC,USA,William B Hartsfield-Atlanta Intl,Atlanta,GA,USA,Delta Air Lines Inc.,113172
Portland International Jetport,Portland,ME,USA,Newark Intl,Newark,NJ,USA,Expressjet Airlines Inc.,111814
Dallas Love,Dallas,TX,USA,George Bush Intercontinental,Houston,TX,USA,Expressjet Airlines Inc.,106089
Manchester,Manchester,NH,USA,Newark Intl,Newark,NJ,USA,Expressjet Airlines Inc.,102940
Birmingham International,Birmingham,AL,USA,William B Hartsfield-Atlanta Intl,Atlanta,GA,USA,Delta Air Lines Inc.,102709
Pittsburgh International,Pittsburgh,PA,USA,William B Hartsfield-Atlanta Intl,Atlanta,GA,USA,Delta Air Lines Inc.,102012
LaGuardia,New York,NY,USA,George Bush Intercontinental,Houston,TX,USA,Continental Air Lines Inc.,97676
