airline,origin,delay
9E,ABE,6
9E,ALB,10
9E,ALO,9
9E,ATL,9
9E,ATW,5
9E,AUS,5
9E,AVL,6
9E,AVP,9
9E,AZO,6
9E,BDL,6
9E,BGM,8
9E,BGR,8
9E,BHM,6
9E,BIL,13
9E,BIS,9
9E,BJI,4
9E,BNA,8
9E,BOS,11
9E,BTR,4
9E,BTV,8
9E,BUF,7
9E,BWI,6
9E,BZN,37
9E,CAE,7
9E,CAK,4
9E,CHA,1
9E,CHS,5
9E,CID,6
9E,CLE,5
9E,CLT,6
9E,CMH,8
9E,CMX,10
9E,COS,6
9E,CPR,8
9E,CRW,0
9E,CVG,9
9E,CWA,7
9E,DAY,7
9E,DCA,8
9E,DEN,9
9E,DFW,12
9E,DLH,5
9E,DSM,9
9E,DTW,8
9E,EAU,6
9E,ELM,5
9E,ERI,4
9E,EVV,3
9E,EWR,43
9E,FAR,6
9E,FCA,18
9E,FLL,9
9E,FNT,6
9E,FSD,6
9E,FSM,1
9E,FWA,13
9E,GFK,4
9E,GLH,-5
9E,GPT,3
9E,GRB,8
9E,GRR,9
9E,GSO,6
9E,GSP,5
9E,GTF,12
9E,HLN,12
9E,HOU,8
9E,HPN,11
9E,HSV,6
9E,IAD,9
9E,IAH,8
9E,ICT,5
9E,IDA,13
9E,IND,9
9E,INL,5
9E,ITH,7
9E,JAN,5
9E,JAX,6
9E,LAN,6
9E,LEX,5
9E,LGA,13
9E,LIT,8
9E,LNK,5
9E,LSE,5
9E,MBS,5
9E,MCI,9
9E,MCO,33
9E,MDT,10
9E,MDW,16
9E,MEM,7
9E,MGM,4
9E,MHT,1
9E,MIA,22
9E,MKE,3
9E,MLI,6
9E,MOB,3
9E,MSN,6
9E,MSO,52
9E,MSP,7
9E,MSY,5
9E,MYR,11
9E,OKC,11
9E,OMA,7
9E,ORD,35
9E,ORF,12
9E,PFN,4
9E,PHL,13
9E,PIA,3
9E,PIR,32
9E,PIT,6
9E,PLN,5
9E,PNS,4
9E,PWM,11
9E,RAP,2
9E,RDU,4
9E,RHI,5
9E,RIC,8
9E,ROA,5
9E,ROC,10
9E,RST,4
9E,RSW,10
9E,SAT,7
9E,SAV,4
9E,SBN,15
9E,SCE,8
9E,SDF,4
9E,SGF,7
9E,SHV,7
9E,SLC,10
9E,SRQ,20
9E,STL,8
9E,STX,20
9E,SUX,7
9E,SWF,10
9E,SYR,9
9E,TLH,4
9E,TPA,10
9E,TRI,-1
9E,TUL,9
9E,TVC,6
9E,TYS,7
9E,XNA,7
AA,ABQ,4
AA,ALB,4
AA,AMA,3
AA,ANC,19
AA,ATL,10
AA,AUS,4
AA,BDL,5
AA,BFL,2
