airline,month,delay
9E,April,12
9E,August,17
9E,December,52
9E,February,41
9E,January,28
9E,July,16
9E,June,23
9E,March,23
9E,May,11
9E,November,9
9E,October,7
9E,September,7
AA,April,16
AA,August,24
AA,December,26
AA,February,18
AA,January,20
AA,July,28
AA,June,31
AA,March,20
AA,May,18
AA,November,14
AA,October,13
AA,September,12
AQ,April,5
AQ,August,1
AQ,December,0
AQ,February,3
AQ,January,0
AQ,July,4
AQ,June,10
AQ,March,6
AQ,May,6
AQ,November,2
AQ,October,6
AQ,September,-2
AS,April,14
AS,August,26
AS,December,34
AS,February,21
AS,January,21
AS,July,24
AS,June,26
AS,March,21
AS,May,17
AS,November,21
AS,October,14
AS,September,12
B6,April,23
B6,August,38
B6,December,44
B6,February,38
B6,January,27
B6,July,43
B6,June,40
B6,March,30
B6,May,14
B6,November,20
B6,October,17
B6,September,10
CO,April,15
CO,August,22
CO,December,24
CO,February,17
CO,January,16
CO,July,26
CO,June,31
CO,March,20
CO,May,18
CO,November,15
CO,October,13
CO,September,9
DH,April,11
DH,August,20
DH,December,29
DH,February,25
DH,January,28
DH,July,33
DH,June,25
DH,March,21
DH,May,23
DH,November,20
DH,October,9
DH,September,6
DL,April,12
DL,August,19
DL,December,21
DL,February,16
DL,January,16
DL,July,24
DL,June,25
DL,March,16
DL,May,12
DL,November,13
DL,October,11
DL,September,10
EV,April,24
EV,August,46
EV,December,38
EV,February,37
EV,January,27
EV,July,53
EV,June,45
EV,March,29
EV,May,21
EV,November,30
EV,October,33
EV,September,31
F9,April,12
F9,August,15
F9,December,39
F9,February,24
F9,January,19
F9,July,19
F9,June,24
F9,March,21
F9,May,18
F9,November,9
F9,October,10
F9,September,2
FL,April,14
FL,August,32
FL,December,31
FL,February,33
FL,January,22
FL,July,41
FL,June,35
FL,March,26
FL,May,14
FL,November,19
FL,October,20
FL,September,13
HA,April,0
HA,August,-1
HA,December,6
HA,February,1
HA,January,1
HA,July,1
HA,June,0
HA,March,1
HA,May,0
HA,November,0
HA,October,2
HA,September,-2
HP,April,15
HP,August,24
HP,December,21
HP,February,22
HP,January,19
HP,July,25
HP,June,23
HP,March,19
HP,May,14
HP,November,16
HP,October,18
HP,September,15
MQ,April,18
MQ,August,23
MQ,December,34
MQ,February,23
MQ,January,24
MQ,July,27
MQ,June,31
MQ,March,22
MQ,May,21
MQ,November,18
MQ,October,13
MQ,September,12
NW,April,12
NW,August,17
NW,December,24
NW,February,16
NW,January,16
NW,July,20
NW,June,24
NW,March,17
NW,May,13
NW,November,10
NW,October,9
NW,September,9
OH,April,17
OH,August,30
OH,December,42
OH,February,28
OH,January,29
OH,July,37
OH,June,35
OH,March,22
OH,May,18
OH,November,23
OH,October,22
OH,September,18
OO,April,11
OO,August,14
OO,December,40
OO,February,25
OO,January,30
OO,July,16
OO,June,18
OO,March,19
OO,May,12
OO,November,14
OO,October,13
OO,September,10
TW,April,12
TW,August,11
TW,December,19
TW,February,14
TW,January,20
TW,July,18
TW,June,30
TW,March,14
TW,May,16
TW,November,6
TW,October,7
TW,September,4
TZ,April,6
TZ,August,20
TZ,December,24
TZ,February,15
TZ,January,25
TZ,July,34
TZ,June,19
TZ,March,18
TZ,May,13
TZ,November,21
TZ,October,7
TZ,September,4
UA,April,19
UA,August,27
UA,December,28
UA,February,20
UA,January,24
UA,July,31
UA,June,33
UA,March,20
UA,May,22
UA,November,16
UA,October,15
UA,September,13
US,April,14
US,August,20
US,December,21
US,February,15
US,January,15
US,July,24
US,June,26
US,March,16
US,May,12
US,November,10
US,October,10
US,September,8
WN,April,14
WN,August,17
WN,December,24
WN,February,19
WN,January,15
WN,July,21
WN,June,23
WN,March,17
WN,May,15
WN,November,13
WN,October,14
WN,September,9
XE,April,19
XE,August,26
XE,December,36
XE,February,22
XE,January,21
XE,July,33
XE,June,35
XE,March,27
XE,May,21
XE,November,22
XE,October,20
XE,September,12
YV,April,28
YV,August,32
YV,December,49
YV,February,39
YV,January,34
YV,July,40
YV,June,43
YV,March,30
YV,May,22
YV,November,22
YV,October,27
YV,September,26
