airline,week,delay
9E,Friday,23
9E,Monday,22
9E,Saturday,18
9E,Sunday,23
9E,Thursday,19
9E,Tuesday,20
9E,Wednesday,19
AA,Friday,24
AA,Monday,21
AA,Saturday,15
AA,Sunday,21
AA,Thursday,23
AA,Tuesday,16
AA,Wednesday,19
AQ,Friday,10
AQ,Monday,3
AQ,Saturday,4
AQ,Sunday,6
AQ,Thursday,3
AQ,Tuesday,-1
AQ,Wednesday,0
AS,Friday,26
AS,Monday,20
AS,Saturday,18
AS,Sunday,23
AS,Thursday,24
AS,Tuesday,17
AS,Wednesday,19
B6,Friday,41
B6,Monday,27
B6,Saturday,22
B6,Sunday,30
B6,Thursday,32
B6,Tuesday,23
B6,Wednesday,27
CO,Friday,24
CO,Monday,19
CO,Saturday,10
CO,Sunday,17
CO,Thursday,24
CO,Tuesday,17
CO,Wednesday,19
DH,Friday,27
DH,Monday,24
DH,Saturday,13
DH,Sunday,19
DH,Thursday,23
DH,Tuesday,18
DH,Wednesday,22
DL,Friday,21
DL,Monday,17
DL,Saturday,10
DL,Sunday,17
DL,Thursday,20
DL,Tuesday,13
DL,Wednesday,15
EV,Friday,40
EV,Monday,40
EV,Saturday,23
EV,Sunday,38
EV,Thursday,40
EV,Tuesday,31
EV,Wednesday,32
F9,Friday,21
F9,Monday,16
F9,Saturday,15
F9,Sunday,20
F9,Thursday,23
F9,Tuesday,14
F9,Wednesday,14
FL,Friday,31
FL,Monday,28
FL,Saturday,17
FL,Sunday,27
FL,Thursday,31
FL,Tuesday,21
FL,Wednesday,22
HA,Friday,4
HA,Monday,-1
HA,Saturday,2
HA,Sunday,2
HA,Thursday,1
HA,Tuesday,-1
HA,Wednesday,0
HP,Friday,23
HP,Monday,19
HP,Saturday,17
HP,Sunday,22
HP,Thursday,22
HP,Tuesday,16
HP,Wednesday,17
MQ,Friday,27
MQ,Monday,25
MQ,Saturday,16
MQ,Sunday,21
MQ,Thursday,24
MQ,Tuesday,20
MQ,Wednesday,21
NW,Friday,19
NW,Monday,16
NW,Saturday,12
NW,Sunday,16
NW,Thursday,18
NW,Tuesday,14
NW,Wednesday,16
OH,Friday,34
OH,Monday,30
OH,Saturday,20
OH,Sunday,25
OH,Thursday,29
OH,Tuesday,23
OH,Wednesday,25
OO,Friday,22
OO,Monday,20
OO,Saturday,16
OO,Sunday,21
OO,Thursday,19
OO,Tuesday,15
OO,Wednesday,15
TW,Friday,22
TW,Monday,14
TW,Saturday,10
TW,Sunday,11
TW,Thursday,18
TW,Tuesday,11
TW,Wednesday,13
TZ,Friday,23
TZ,Monday,20
TZ,Saturday,10
TZ,Sunday,16
TZ,Thursday,19
TZ,Tuesday,14
TZ,Wednesday,18
UA,Friday,27
UA,Monday,23
UA,Saturday,16
UA,Sunday,22
UA,Thursday,26
UA,Tuesday,19
UA,Wednesday,22
US,Friday,22
US,Monday,15
US,Saturday,11
US,Sunday,16
US,Thursday,19
US,Tuesday,12
US,Wednesday,14
WN,Friday,25
WN,Monday,14
WN,Saturday,11
WN,Sunday,20
WN,Thursday,21
WN,Tuesday,12
WN,Wednesday,14
XE,Friday,28
XE,Monday,26
XE,Saturday,15
XE,Sunday,22
XE,Thursday,27
XE,Tuesday,24
XE,Wednesday,27
YV,Friday,37
YV,Monday,36
YV,Saturday,29
YV,Sunday,33
YV,Thursday,35
YV,Tuesday,29
YV,Wednesday,28
